timestamp,Open,High,Low,Close,Volume
2022-07-02,216.6,219.6,213.65,218.0,56964.55
2022-07-03,218.0,220.1,213.95,218.95,65325.3
2022-07-04,218.95,232.45,214.65,231.4,108567.59
2022-07-05,231.4,236.35,222.75,230.6,138377.23
2022-07-06,230.6,240.0,228.9,238.4,139901.93
2022-07-07,238.4,243.8,235.1,241.35,119357.44
2022-07-08,241.35,252.1,236.8,240.45,134186.65
2022-07-09,240.45,244.85,240.45,243.05,49948.82
2022-07-10,243.05,243.2,231.65,234.4,70559.22
2022-07-11,234.4,234.8,224.9,225.45,87260.09
2022-07-12,225.45,228.1,219.85,220.3,87262.22
2022-07-13,220.3,231.25,216.05,230.35,172335.91
2022-07-14,230.35,240.0,226.95,238.35,132451.27
2022-07-15,238.35,242.65,235.3,238.4,95684.85
2022-07-16,238.4,251.35,233.65,249.75,114500.32
2022-07-17,249.75,255.6,246.3,247.6,92377.32
2022-07-18,247.6,265.6,247.5,264.05,165668.6
2022-07-19,264.05,274.65,255.65,268.6,172254.62
2022-07-20,268.6,271.9,256.25,258.05,122202.2
2022-07-21,258.05,265.8,250.6,265.3,83839.82
2022-07-22,265.3,271.25,261.0,262.2,94371.94
2022-07-23,262.2,272.5,252.45,258.9,85378.04
2022-07-24,258.9,266.2,256.95,261.45,51386.97
2022-07-25,261.45,262.6,243.95,244.35,87524.45
2022-07-26,244.35,249.35,239.45,249.25,77190.89
2022-07-27,249.25,272.05,247.5,271.55,142050.65
2022-07-28,271.55,280.95,263.55,277.2,109651.47
2022-07-29,277.2,302.25,274.7,293.5,182287.33
2022-07-30,293.5,300.65,284.85,287.55,136418.08
2022-07-31,287.55,297.2,281.9,283.45,89162.62
2022-08-01,283.45,290.4,277.8,283.15,97523.91
2022-08-02,283.15,291.1,273.75,283.55,129436.24
2022-08-03,283.55,305.9,278.0,297.4,174736.44
2022-08-04,297.4,313.65,297.0,311.55,260351.7
2022-08-05,311.55,321.25,307.8,315.65,226708.8
2022-08-06,315.65,323.2,312.45,315.05,130028.01
2022-08-07,315.05,326.15,308.05,322.25,205450.11
2022-08-08,322.25,333.7,320.85,324.55,208127.31
2022-08-09,324.55,328.3,311.85,324.1,191539.98
2022-08-10,324.1,336.6,313.35,328.6,319406.11
2022-08-11,328.6,334.45,321.6,323.05,158019.29
2022-08-12,323.05,327.8,317.45,327.65,114101.16
2022-08-13,327.65,332.7,322.4,323.9,119717.31
2022-08-14,323.9,330.65,315.5,317.25,110719.35
2022-08-15,317.25,327.2,313.25,319.2,161800.29
2022-08-16,319.2,322.2,311.75,315.75,94412.81
2022-08-17,315.75,323.9,303.45,306.65,164331.58
2022-08-18,306.65,310.8,295.25,297.95,125431.73
2022-08-19,297.95,298.1,274.75,278.9,286183.84
2022-08-20,278.9,288.8,276.55,283.5,163234.12
2022-08-21,283.5,304.25,283.35,301.6,207157.1
2022-08-22,301.6,304.65,288.6,299.8,199555.44
2022-08-23,299.8,301.65,293.5,298.9,161311.09
2022-08-24,298.9,300.2,293.85,295.95,138353.28
2022-08-25,295.95,307.5,295.6,301.2,146579.94
2022-08-26,301.2,302.4,276.95,279.25,233749.25
2022-08-27,279.25,284.55,272.45,277.65,133967.61
2022-08-28,277.65,283.85,275.4,276.15,127390.72
2022-08-29,276.15,286.95,272.2,285.75,173091.77
2022-08-30,285.75,291.8,276.5,281.25,170500.88
2022-08-31,281.25,289.85,277.3,278.9,130523.87
2022-09-01,278.9,280.15,270.35,278.1,224400.16
2022-09-02,278.1,283.4,273.1,277.15,143969.91
2022-09-03,277.15,279.1,274.05,277.7,56926.67
2022-09-04,277.7,280.6,274.8,278.9,67780.31
2022-09-05,278.9,281.8,273.05,276.65,114050.61
2022-09-06,276.65,286.3,260.5,262.2,251368.72
2022-09-07,262.2,280.3,258.05,278.85,156139.79
2022-09-08,278.85,282.9,275.3,280.25,135187.26
2022-09-09,280.25,295.8,279.95,293.05,128196.03
2022-09-10,293.05,298.4,290.0,296.4,71416.63
2022-09-11,296.4,297.8,289.55,295.15,48371.2
2022-09-12,295.15,300.1,290.6,293.75,87459.8
2022-09-13,293.75,298.4,275.15,277.15,155154.37
2022-09-14,277.15,282.65,273.0,279.1,88421.87
2022-09-15,279.1,280.25,266.45,270.85,108874.18
2022-09-16,270.85,276.4,268.3,274.7,98844.84
2022-09-17,274.7,279.7,274.55,278.8,41251.46
2022-09-18,278.8,280.0,262.65,266.2,97265.56
2022-09-19,266.2,272.95,256.3,271.8,125573.79
2022-09-20,271.8,273.55,264.95,266.15,119114.51
2022-09-21,266.15,276.2,260.2,263.75,209947.18
2022-09-22,263.75,276.55,263.25,275.15,84109.34
2022-09-23,275.15,277.55,268.35,276.4,107949.61
